word,gold_segmentation,gold_root_heuristic,stemmer_output,exact_match
যাবে,"যা+ব+ে, যা+বে",যা,যাব,False
যাচ্ছে,যা+চ্ছ+ে,যা,যায়,False
যাদবের,যাদব+ের,যাদব,যাদব,True
যাওয়াকে,যা+ওয়া+কে,যা,যাওয়া,False
যাপনে,যাপন+ে,যাপন,যাপন,True
যারা,যারা,যারা,যারা,True
যেদিকেই,যে+দিক+ে+ই,যে,যেদি,False
যেহেতু,"যেহেতু, যে+হেতু",যেহেতু,যেহেতু,True
যেমন,যেমন,যেমন,যেমন,True
যুদ্ধ,যুদ্ধ,যুদ্ধ,যুদ্ধ,True
যুগান্তর,"যুগ+ান্তর, যুগ+অন্তর",যুগ,যুগান্তর,False
যুগিয়েই,যুগ+িয়ে+ই,যুগ,যুগা,False
যন্ত্রণাদায়ক,"যন্ত্রণা+দায়ক, যন্ত্রণা+দায়+ক",যন্ত্রণা,যন্ত্রণাদায়ক,False
যন্ত্রণায়,যন্ত্রণা+য়,যন্ত্রণা,যন্ত্রণায়,False
কালী,কালী,কালী,কালী,True
কামারকুণ্ডু,কামার+কুণ্ডু,কামার,কামারকুণ্ডু,False
কার্য,কার্য,কার্য,কার্য,True
কার্যে,কার্য+ে,কার্য,কার্য,True
কার্যবিবরণীসহ,কার্য+বিবরণ+ী+সহ,কার্য,কার্যবিবরণীসহ,False
কার্যক্রমকেই,কার্য+ক্রম+কে+ই,কার্য,কার্যক্রম,False
কাটছে,কাট+ছে,কাট,কাট,True
কাটেনি,কাট+ে+নি,কাট,কাটেনি,False
কাউন্টারগুলোর,কাউন্টার+গুলো+র,কাউন্টার,কাউন্,False
কৌতুহলোদ্দীপক,"1 কৌতুহল+োদ্দীপক, কৌতুহল+উদ্দীপক",1 কৌতুহল,কৌতুহলোদ্দীপক,False
কৌতুক,কৌতুক,কৌতুক,কৌতুক,True
কৌশলপত্রের,কৌশল+পত্র+ের,কৌশল,কৌশলপত্র,False
কোচ,কোচ,কোচ,কোচ,True
কোথাকার,কোথা+কার,কোথা,কোথাকা,False
কোমর,কোমর,কোমর,কোমর,True
কোনোক্রমে,কোনো+ক্রম+ে,কোনো,কোনোক্রম,False
কোট,কোট,কোট,কোট,True
কেউ,কেউ,কেউ,কেউ,True
কিস্তি,কিস্তি,কিস্তি,কিস্তি,True
কিলোমিটার,কিলো+মিটার,কিলো,কিলোমি,False
কিনেছে,"কিন+েছ+ে, কিন+ে+ছ+ে",কিন,কিন,True
কৃষি,কৃষি,কৃষি,কৃষি,True
কৃপারাম,কৃপা+রাম,কৃপা,কৃপারাম,False
কতজন,কত+জন,কত,কতজন,False
কুসুমকে,কুসুম+কে,কুসুম,কুসুম,True
কুস্তি,কুস্তি,কুস্তি,কুস্তি,True
কুমন্ত্রণার,কু+মন্ত্র+ণা+র,কু,কুমন্ত্রণা,False
কুয়ালালামপুরে,কুয়ালালামপুর+ে,কুয়ালালামপুর,কুয়ালালামপুর,True
কুড়িতে,কুড়ি+তে,কুড়ি,কুড়ি,True
কূটকৌশলই,কূট+কৌশল+ই,কূট,কূটকৌশল,False
কূটকচালের,কূট+ক+চাল+ের,কূট,কূটকচাল,False
কূটনীতিবিদদের,কূট+নীতি+বিদ+দের,কূট,কূটনীতিবিদ,False
কদাচিত,কদাচিত,কদাচিত,কদাচিত,True
কথাবার্তার,কথা+বার্তা+র,কথা,কথাবার্তার,False
কথাটার,কথা+টা+র,কথা,কথা,True
কলেজও,কলেজ+ও,কলেজ,কলেজ,True
কল্যাণমুখী,কল্যাণ+মুখ+ী,কল্যাণ,কল্যাণমুখী,False
কল্পনাসাধ্য,কল্পনা+সাধ্য,কল্পনা,কল্পনাসাধ্য,False
কমান্ডার্স,কমান্ডার্স,কমান্ডার্স,কমান্ডার্স,True
কমিটি,কমিটি,কমিটি,কমি,False
কমিটিকেও,কমিটি+কে+ও,কমিটি,কমি,False
কমিউনিস্টছড়া,কমিউনিস্ট+ছড়া,কমিউনিস্ট,কমিউনিস্টছড়া,False
কমসংখ্যক,"1 কম+সংখ্য+ক, কম+সংখ্যা+ক",1 কম,কমসংখ্যক,False
কনস্টেবলদের,কনস্টেবল+দের,কনস্টেবল,কনস্টেবল,True
করে,করে,করে,কর,False
করেছে,কর+েছ+ে,কর,কর,True
করবর্ষ,করবর্ষ,করবর্ষ,করবর্ষ,True
করলেও,"কর+ল+ে+ও, কর+লে+ও",কর,করল,False
কর্ণধার,কর্ণ+ধার,কর্ণ,কর্ণধা,False
কর্তৃপক্ষ,কর্তৃ+পক্ষ,কর্তৃ,কর্তৃপক্ষ,False
কর্তব্য,কর্তব্য,কর্তব্য,কর্তব্য,True
কর্মীদের,কর্ম+ী+দের,কর্ম,কর্মী,False
কর্মচারী,কর্ম+চারী,কর্ম,কর্মচারী,False
কর্মচারীরা,কর্ম+চারী+রা,কর্ম,কর্মচারী,False
কর্মযজ্ঞ,কর্ম+যজ্ঞ,কর্ম,কর্মযজ্ঞ,False
কটাক্ষে,কটাক্ষ+ে,কটাক্ষ,কটাক্ষ,True
কড়ইতলা,কড়ই+তলা,কড়ই,কড়ইতলা,False
ক্ষেতমজুররা,ক্ষেত+মজুর+রা,ক্ষেত,ক্ষেতমজুর,False
ক্ষেত্রটি,ক্ষেত্র+টি,ক্ষেত্র,ক্ষেত্র,True
ক্ষতিগ্রস্তদের,ক্ষতি+গ্রস্ত+দের,ক্ষতি,ক্ষতিগ্রস্ত,False
ক্ষুধাই,ক্ষুধা+ই,ক্ষুধা,ক্ষুধা,True
ক্ষুব্ধতা,ক্ষুব্ধ+তা,ক্ষুব্ধ,ক্ষুব্ধতা,False
ক্ষমতা,ক্ষমতা,ক্ষমতা,ক্ষমতা,True
ক্ষমতাহীন,ক্ষমতা+হীন,ক্ষমতা,ক্ষমতাহীন,False
ক্যাম্পাসভিত্তিক,"ক্যাম্পাস+ভিত্তিক, ক্যাম্পাস+ভিত্তি+ক",ক্যাম্পাস,ক্যাম্পাসভিত্তিক,False
ক্যান্টনমেন্ট,ক্যান্টনমেন্ট,ক্যান্টনমেন্ট,ক্যান্টনমেন্ট,True
ক্যারিয়ারে,ক্যারিয়ার+ে,ক্যারিয়ার,ক্যারিয়ার,True
ক্যাশ,ক্যাশ,ক্যাশ,ক্যাশ,True
ক্লিয়ারিং,ক্লিয়ার+িং,ক্লিয়ার,ক্লিয়ারিং,False
ক্রীড়াচক্রসহ,ক্রীড়া+চক্র+সহ,ক্রীড়া,ক্রীড়াচক্রসহ,False
লীগেরই,লীগ+ের+ই,লীগ,লীগ,True
লাখ,লাখ,লাখ,লাখ,True
লাইনম্যান,লাইন+ম্যান,লাইন,লাইনম্যান,False
লাইটার,লাইটার,লাইটার,লাই,False
লালকুঠি,লাল+কুঠি,লাল,লালকুঠি,False
লালন,লালন,লালন,লালন,True
লিখছি,"লিখ+ছ+ি, লিখ+ছ+ি",লিখ,লিখ,True
লিফলেট,লিফলেট,লিফলেট,লিফলেট,True
লিফলেটের,লিফলেট+ের,লিফলেট,লিফলেট,True
লিডারশিপ,"লিডার+শিপ, লিড+ার+শিপ",লিডার,লিডারশিপ,False
লজ্জায়,লজ্জা+য়,লজ্জা,লজ্জায়,False
লণ্ডখণ্ডা,লণ্ড+খণ্ড+া,লণ্ড,লণ্ডখণ্ডা,False
লস্কর,লস্কর,লস্কর,লস্,False
লুঙ্গি,লুঙ্গি,লুঙ্গি,লুঙ্গি,True
লঞ্চগুলোকে,লঞ্চ+গুলো+কে,লঞ্চ,লঞ্চ,True
লঞ্চটি,লঞ্চ+টি,লঞ্চ,লঞ্চ,True
লবিতে,লবি+তে,লবি,লবি,True
লগ্ন,লগ্ন,লগ্ন,লগ্ন,True
ললিত,ললিত,ললিত,ললিত,True
লংঘন,লংঘন,লংঘন,লংঘন,True
মাস্টার,মাস্টার,মাস্টার,মাস্,False
মাস্টারই,মাস্টার+ই,মাস্টার,মাস্,False
মাস্টারপাড়া,মাস্টার+পাড়া,মাস্টার,মাস্টারপাড়া,False
মাদক,মাদক,মাদক,মাদক,True
মাদকের,মাদকের,মাদকের,মাদক,False
মাইক্রোচালক,মাইক্রো+চালক,মাইক্রো,মাইক্রোচালক,False
মালটা,মাল+টা,মাল,মাল,True
মামার,মামা+র,মামা,মামা,True
মানানো,মান+া+নো,মান,মানানো,False
মানায়,মান+া+য়,মান,মানায়,False
মানসিকতারও,মানসিক+তা+র+ও,মানসিক,মানসিকতা,False
মানসম্মত,মান+সম্মত,মান,মানসম্মত,False
মানুষটার,মানুষ+টা+র,মানুষ,মানুষ,True
মার্চ,মার্চ,মার্চ,মার্চ,True
মাঝরাতে,মাঝ+রাত+ে,মাঝ,মাঝরা,False
মধু,মধু,মধু,মধু,True
মধ্যেই,মধ্য+ে+ই,মধ্য,মধ্য,True
মধ্যমাঠ,মধ্য+মাঠ,মধ্য,মধ্যমাঠ,False
মোকাবিলায়,মোকাবিলা+য়,মোকাবিলা,মোকাবিলায়,False
মোটরসাইকেলযোগে,মোটর+সাইকেল+যোগ+ে,মোটর,মোটরসাইকেলযোগে,False
মেলার,মেলা+র,মেলা,মেলা,True
মেয়ে,মেয়ে,মেয়ে,মায়,False
মিনিস্টাররা,মিনিস্টার+রা,মিনিস্টার,মিনিস্,False
মিনিটে,মিনিট+ে,মিনিট,মিনিট,True
মিটমাটের,"মিট+মাট+ের, মিটমাট+ের",মিট,মিটমাট,False
মজুদও,মজুদ+ও,মজুদ,মজুদ,True
মৃত্যুঞ্জয়,মৃত্যু+ঞ্জয়,মৃত্যু,মৃত্যুঞ্জয়,False
মৃত্যুদণ্ডাদেশ,"1 মৃত্যু+দণ্ড+াদেশ, মৃত্যু+দণ্ড+আদেশ",1 মৃত্যু,মৃত্যুদণ্ডাদেশ,False
মৃত্যুদণ্ডের,মৃত্যু+দণ্ড+ের,মৃত্যু,মৃত্যুদণ্ড,False
মৃদুল,মৃদুল,মৃদুল,মৃদুল,True
মস্তানদের,মস্তান+দের,মস্তান,মস্তান,True
মতের,মত+ের,মত,মত,True
মতকে,মত+কে,মত,মত,True
মতপার্থক্যটাকে,মত+পার্থক্য+টা+কে,মত,মতপার্থক্য,False
মুখ,মুখ,মুখ,মুখ,True
মুখরোচক,মুখ+রোচক,মুখ,মুখরোচক,False
মুসলিমকে,মুসলিম+কে,মুসলিম,মুসলিম,True
মুক্তিযোদ্ধাকে,মুক্তি+যোদ্ধা+কে,মুক্তি,মুক্তিযোদ্ধা,False
মূল্যবৃদ্ধি,মূল্য+বৃদ্ধি,মূল্য,মূল্যবৃদ্ধি,False
মডেলের,মডেল+ের,মডেল,মডেল,True
মহাপরিকল্পনা,"মহা+পরি+কল্পনা, মহা+পরিকল্পনা",মহা,মহাপরিকল্পনা,False
মহিষখোঁচা,মহিষ+খোঁচা,মহিষ,মহিষখোঁচা,False
মহড়া,মহড়া,মহড়া,মহড়া,True
মলমূত্র,মল+মূত্র,মল,মলমূত্র,False
মনে,মন+ে,মন,মন,True
মনোরথ,মনো+রথ,মনো,মনোরথ,False
মন্ত্রণালয়েও,"1 মন্ত্রণা+লয়+ে+ও, মন্ত্রণা+আলয়+ে+ও",1 মন্ত্রণা,মন্ত্রণালয়,False
মরণছোবলে,মরণ+ছোবল+ে,মরণ,মরণছোবল,False
নীতি,নীতি,নীতি,নীতি,True
নাতি,নাতি,নাতি,নাতি,True
নাচ,নাচ,নাচ,নাচ,True
নালিশি,নালিশ+ি,নালিশ,নালিশি,False
নামেননি,"নাম+েন+নি, নাম+ে+ন+নি",নাম,নামেননি,False
নামগন্ধ,নাম+গন্ধ,নাম,নামগন্ধ,False
নানাবিধ,নানা+বিধ,নানা,নানাবিধ,False
নারী,নারী,নারী,নারী,True
নারকেল,নারকেল,নারকেল,নারকেল,True
নভোথিয়েটার,নভো+থিয়েটার,নভো,নভোথিয়ে,False
নোটও,নোট+ও,নোট,নোট,True
নেতা,নেতা,নেতা,নেতা,True
নেবেনই,"নেব+েন+ই, নেব+ে+ন+ই",নেব,নেব,True
নেমেছিলেনও,"1 নেম+েছ+িল+ে+ন+ও, নেম+ে+ছি+ল+ে+ন+ও, নাম+েছ+িল+েন+ও, নাম+ে+ছি+ল+েন+ও",1 নেম,নাম,False
নিচ্ছিল,"নি+চ্ছ+িল, নি+চ্ছি+ল",নি,নেয়,False
নিলেন,"নিল+েন, নিল+ে+ন",নিল,নিল,True
নিরাপত্তাব্যবস্থা,নিরাপত্তা+ব্যবস্থা,নিরাপত্তা,নিরাপত্তাব্যবস্থা,False
নিরাপত্তাকে,নিরাপত্তা+কে,নিরাপত্তা,নিরাপত্তা,True
নির্ভরশীলতাকে,নির্ভর+শীল+তা+কে,নির্ভর,ভরশীলতা,False
নির্বাসনই,নির্বাসন+ই,নির্বাসন,বাসন,False
নির্মাণে,নির্মাণ+ে,নির্মাণ,মাণ,False
নির্মম,নির্মম,নির্মম,মম,False
নিশানা,নিশানা,নিশানা,নিশানা,True
নিশ্বাসে,নি+শ্বাস+ে,নি,নিশ্বাস,False
নিউইয়র্কে,নিউইয়র্ক+ে,নিউইয়র্ক,নিউইয়র্,False
নিয়মে,নিয়ম+ে,নিয়ম,নিয়ম,True
নিয়মতান্ত্রিক,"1 নিয়ম+তান্ত্র+িক, নিয়ম+তন্ত্র+িক",1 নিয়ম,নিয়মতান্ত্রিক,False
নিয়মবহির্ভূতভাবে,নিয়ম+বহির্ভূত+ভাব+ে,নিয়ম,নিয়মবহির্ভূতভাব,False
নিয়ন্ত্রণে,নিয়ন্ত্রণ+ে,নিয়ন্ত্রণ,নিয়ন্ত্রণ,True
নজরুলসহ,নজরুল+সহ,নজরুল,নজরুলসহ,False
নগরীতে,নগর+ী+তে,নগর,নগরী,False
নগরীর,নগর+ী+র,নগর,নগরীর,False
নগরবাসীর,নগর+বাস+ী+র,নগর,নগরবাসীর,False
নন্দী,নন্দী,নন্দী,নন্দী,True
নয়াদিল্লিসহ,নয়া+দিল্লি+সহ,নয়া,নয়াদিল্লিসহ,False
ওষুধসামগ্রীর,ওষুধ+সামগ্রী+র,ওষুধ,ওষুধসামগ্রীর,False
পঁাচটিতে,পঁাচ+টি+তে,পঁাচ,পঁাচ,True
পাসপোর্টটি,পাসপোর্ট+টি,পাসপোর্ট,পাসপোর্ট,True
পাততে,পাত+তে,পাত,পাত,True
পাথর,পাথর,পাথর,পাথর,True
পারাটাই,পার+া+টা+ই,পার,পারা,False
পারছে,পার+ছে,পার,পার,True
পারফরম্যান্সে,পারফরম্যান্স+ে,পারফরম্যান্স,পারফরম্যান্স,True
পার্বণে,পার্বণ+ে,পার্বণ,পার্বণ,True
পাশা,পাশা,পাশা,পাশা,True
পাটি,পাটি,পাটি,পাটি,True
পেঁৗছালে,"পেঁৗছ+া+ল+ে, পেঁৗছ+া+লে",পেঁৗছ,পেঁৗছালে,False
পেঁৗছার,পেঁৗছ+া+র,পেঁৗছ,পেঁৗছা,False
পেঁয়াজের,পেঁয়াজ+ের,পেঁয়াজ,পেঁয়াজ,True
পোষেন,"পোষ+েন, পোষ+ে+ন",পোষ,পোষ,True
পোহাতে,পোহা+তে,পোহা,পোহা,True
পোশাকসহ,পোশাক+সহ,পোশাক,পোশাকসহ,False
পোশাকই,পোশাক+ই,পোশাক,পোশাক,True
পেছানোর,পেছা+নো+র,পেছা,পেছানোর,False
পেজ,পেজ,পেজ,পেজ,True
পেতে,পেতে,পেতে,পেত,False
পেরেক,পেরেক,পেরেক,পেরেক,True
পেটপুরে,পেট+পুর+ে,পেট,পেটপুরে,False
পেয়েছে,পে+য়ে+ছ+ে,পে,পায়,False
পেয়েছেন,"পে+য়ে+ছ+েন, পেয়ে+ছ+ে+ন",পে,পায়,False
পিছনের,পিছন+ের,পিছন,পিছন,True
পৃথিবীরই,পৃথিবীর+ই,পৃথিবীর,পৃথিবীর,True
পত্রপত্রিকাগুলো,"পত্র+পত্রিকা+গুলো, পত্র+পত্র+িকা+গুলো",পত্র,পত্রপত্রিকা,False
পুকুরগুলো,পুকুর+গুলো,পুকুর,পুকুর,True
পুরস্কার,পুরস্কার,পুরস্কার,পুরস্কা,False
পূর্ব,পূর্ব,পূর্ব,পূর্ব,True
পদগুলোতে,পদ+গুলো+তে,পদ,পদ,True
পথে,পথ+ে,পথ,পথ,True
পথশিশুদের,পথ+শিশু+দের,পথ,পথশিশু,False
পক্ষে,পক্ষ+ে,পক্ষ,পক্ষ,True
পলাশ,পলাশ,পলাশ,পলাশ,True
পল্লীতথ্য,পল্লী+তথ্য,পল্লী,পল্লীতথ্য,False
পরীক্ষার্থী,পরীক্ষা+র্থী,পরীক্ষা,পরীক্ষার্থী,False
পরোয়ানায়,পরোয়ানা+য়,পরোয়ানা,পরোয়ানায়,False
পরিষদই,পরিষদ+ই,পরিষদ,ষদ,False
পরিসংখ্যানটার,পরি+সংখ্যা+ন+টা+র,সংখ্যা,সংখ্যান,False
পরিস্থিতি,পরি+স্থিতি,স্থিতি,স্থিতি,True
পরিচিতিমূলক,পরিচিত+ি+মূলক,পরিচিত,চিতিমূলক,False
পরিচয়ে,পরিচয়+ে,পরিচয়,চয়,False
পরিদর্শকের,পরি+দর্শক+ের,দর্শক,দর্শক,True
পরস্পরবিরোধী,পরস্পর+বি+রোধ+ী,পরস্পর,পরস্পরবিরোধী,False
পর্যটনকেন্দ্র,পর্যটন+কেন্দ্র,পর্যটন,পর্যটনকেন্দ্র,False
পর্নোদৃশ্য,পর্নো+দৃশ্য,পর্নো,পর্নোদৃশ্য,False
পশলা,পশলা,পশলা,পশলা,True
প্যান্ট,প্যান্ট,প্যান্ট,প্যান্ট,True
প্লেন,প্লেন,প্লেন,প্,False
প্রাণনাশ,প্রাণ+নাশ,প্রাণ,প্রাণনাশ,False
প্রান্তিকের,প্রান্তিক+ের,প্রান্তিক,প্রান্তিক,True
প্রাপকের,প্রাপক+ের,প্রাপক,প্রাপক,True
প্রতিষ্ঠাবার্ষিকী,প্রতিষ্ঠা+বার্ষিক+ী,প্রতিষ্ঠা,ষ্ঠাবার্ষিকী,False
প্রতিবেদন,প্রতিবেদন,প্রতিবেদন,বেদন,False
প্রতিদানও,প্রতি+দান+ও,দান,দান,True
প্রতিযোগীকে,"প্রতিযোগ+ী+কে, প্রতি+যোগ+ী+কে",প্রতিযোগ,যোগী,False
প্রতিযোগিতাশীলতা,"1 প্রতিযোগ+ি+তা+শীল+তা, প্রতিযোগ+ী+তা+শীল+তা",1 প্রতিযোগ,যোগিতাশীলতা,False
প্রতিক্রিয়াকে,প্রতি+ক্রিয়া+কে,ক্রিয়া,ক্রিয়া,True
প্রতিলিপি,প্রতি+লিপি,লিপি,লিপি,True
প্রতিমন্ত্রীরা,প্রতি+মন্ত্রী+রা,মন্ত্রী,মন্ত্রী,True
প্রত্যাশার,প্রত্যাশা+র,প্রত্যাশা,প্রত্যাশা,True
প্রবেশদ্বার,প্রবেশ+দ্বার,প্রবেশ,প্রবেশদ্বা,False
প্রবহমান,প্র+বহ+মান,প্র,প্রবহ,False
প্রবলবেগে,প্র+বল+বেগ+ে,প্র,প্রবলবেগ,False
প্রচার,"প্রচার, প্র+চার",প্রচার,প্রচা,False
প্রচারণা,প্রচার+ণ+া,প্রচার,প্রচারণা,False
প্রচারণায়,প্রচার+ণ+া+য়,প্রচার,প্রচারণায়,False
প্রদর্শনী,প্র+দর্শন+ী,প্র,প্রদর্শনী,False
প্রকারান্তে,প্র+কারান্ত+ে,প্র,প্রকারান্,False
প্রকাশকরাই,প্রকাশ+ক+রা+ই,প্রকাশ,প্রকাশকরা,False
প্রক্রিয়া,"প্র+ক্রিয়া, প্রক্রিয়া",প্র,প্রক্রিয়া,False
প্রক্রিয়াজাতকরণে,"প্র+ক্রিয়া+জাত+করণ+ে, প্রক্রিয়া+জাত+করণ+ে",প্র,প্রক্রিয়াজাতকরণ,False
প্রমুখকেও,"প্র+মুখ+কে+ও, প্রমুখ+কে+ও",প্র,প্রমুখ,False
প্ররক্ষা,প্র+রক্ষা,প্র,প্ররক্ষা,False
রাষ্ট্র,রাষ্ট্র,রাষ্ট্র,রাষ্ট্র,True
রাজসভা,রাজ+সভা,রাজ,রাজসভা,False
রাজনগরের,রাজ+নগর+ের,রাজ,রাজনগর,False
রাখব,রাখ+ব,রাখ,রাখব,False
রাস্তায়ই,রাস্তা+য়+ই,রাস্তা,রাস্তায়,False
রাহুমুক্ত,রাহু+মুক্ত,রাহু,রাহুমুক্ত,False
রানক্ষুধাও,রান+ক্ষুধা+ও,রান,রানক্ষুধা,False
রাঙামাটিতে,"রাঙা+মাটি+তে, রাঙামাটি+তে",রাঙা,রাঙামা,False
রোজ,রোজ,রোজ,রোজ,True
রোববার,রোব+বার,রোব,রোববা,False
রোদঝলমলে,রোদ+ঝলমল+ে,রোদ,রোদঝলমল,False
রোগে,রোগ+ে,রোগ,রোগ,True
রোপণের,রোপণ+ের,রোপণ,রোপণ,True
রেসিপি,রেসিপি,রেসিপি,রেসিপি,True
রেস্তোরাঁগুলোয়,রেস্তোরাঁ+গুলো+য়,রেস্তোরাঁ,রেস্তোরাঁগুলোয়,False
রিভিউয়ের,"রি+ভিউ+য়ের, রিভিউ+য়ের",রি,রিভিউয়,False
রিজার্ভে,রিজার্ভ+ে,রিজার্ভ,রিজার্ভ,True
রিকশাচালক,রিকশা+চালক,রিকশা,রিকশাচালক,False
রিকশারোহী,"1 রিকশা+রোহী, রিকশা+আরোহী",1 রিকশা,রিকশারোহী,False
রুক্ষ,রুক্ষ,রুক্ষ,রুক্ষ,True
রগকাটা,রগ+কাট+া,রগ,রগকা,False
রক্তদহ,রক্ত+দহ,রক্ত,রক্তদহ,False
শাসক,শাসক,শাসক,শাসক,True
শাসনভার,শাসন+ভার,শাসন,শাসনভা,False
শাসনবহির্ভূর্ত,শাসন+বহির্ভূর্ত,শাসন,শাসনবহির্ভূর্ত,False
শান্তি,শান্ত+ি,শান্ত,শান্তি,False
শান্তিরক্ষীদের,শান্তি+রক্ষ+ী+দের,শান্তি,শান্তিরক্ষী,False
শেষ,শেষ,শেষ,শেষ,True
শেয়ালে,শেয়াল+ে,শেয়াল,শেয়ালে,False
শিখা,শিখা,শিখা,শিখা,True
শিখরে,শিখর+ে,শিখর,শিখর,True
শিডিউলগুলো,শিডিউল+গুলো,শিডিউল,শিডিউল,True
শিবিরকে,শিবির+কে,শিবির,শিবি,False
শিক্ষাবিদরা,শিক্ষা+বিদ+রা,শিক্ষা,শিক্ষাবিদ,False
শিল্পোত্তীর্ণ,"1 শিল্প+োত্তীর্ণ, শিল্প+উত্তীর্ণ",1 শিল্প,শিল্পোত্তীর্ণ,False
শিশু,শিশু,শিশু,শিশু,True
শিশুর,শিশু+র,শিশু,শিশুর,False
শুটার,শুট+ার,শুট,শুটা,False
শক্তি,শক্ত+ি,শক্ত,শক্তি,False
শক্তিশালী,শক্ত+ি+শালী,শক্ত,শক্তিশালী,False
শরীফ,শরীফ,শরীফ,শরীফ,True
শরীরে,শরীর+ে,শরীর,শরীর,True
শশুরবাড়ি,শশুর+বাড়ি,শশুর,শশুরবাড়ি,False
শ্বেত,শ্বেত,শ্বেত,শ্বেত,True
শ্রেণীর,শ্রেণী+র,শ্রেণী,শ্রেণীর,False
শ্রমিকসহ,শ্রম+িক+সহ,শ্রম,শ্রমিকসহ,False
শ্রমবিষয়ক,শ্রম+বিষয়+ক,শ্রম,শ্রমবিষয়ক,False
টাস্ক,টাস্ক,টাস্ক,টাস্ক,True
টানবাজার,টান+বাজার,টান,টানবাজা,False
টাঙিয়ে,টাঙ+িয়ে,টাঙ,টাঙা,False
টাউন,টাউন,টাউন,টাউন,True
টেস্ট,টেস্ট,টেস্ট,টেস্ট,True
টেম্পো,টেম্পো,টেম্পো,টেম্পো,True
টেনেই,"1 টেন+ে+ই, টান+ে+ই",1 টেন,টান,False
টিকতে,টিক+তে,টিক,টিক,True
টিনএজারদের,টিনএজ+ার+দের,টিনএজ,টিনএজার,False
ট্যাক্সিক্যাব,ট্যাক্সি+ক্যাব,ট্যাক্সি,ট্যাক্সিক্যাব,False
ট্রাকই,ট্রাক+ই,ট্রাক,ট্রাক,True
ট্রেনেই,ট্রেন+ে+ই,ট্রেন,ট্রেন,True
উতলা,উতল+া,উতল,উতলা,False
উত্সাহ,উত্সাহ,উত্সাহ,উত্সাহ,True
উত্তর,উত্তর,উত্তর,উত্তর,True
উচ্ছ্বাস,উচ্ছ্বাস,উচ্ছ্বাস,উচ্ছ্বাস,True
উচ্চারণই,উচ্চারণ+ই,উচ্চারণ,উচ্চারণ,True
উল্লেখযোগ্যভাবে,উল্লেখ+যোগ্য+ভাব+ে,উল্লেখ,উল্লেখযোগ্যভাবে,False
উন্নয়নের,উন্নয়ন+ের,উন্নয়ন,উন্নয়ন,True
উপায়,উপায়,উপায়,উপায়,True
উপরিস্থ,উপর+ি+স্থ,উপর,রিস্থ,False
ঝুলছেই,"ঝুল+ছে+ই, ঝুল+ছ+ে+ই",ঝুল,ঝুল,True
ঠেকানোর,ঠেকা+নো+র,ঠেকা,ঠেকানোর,False
ঊধ্বর্তন, ঊধ্বর্তন,ঊধ্বর্তন,ঊধ্বর্তন,True
ঊরু,ঊরু,ঊরু,ঊরু,True
ঊটের,ঊট+ের,ঊট,ঊট,True
ঋণাত্মকে,"1 ঋণাত্মক+ে, ঋণ+াত্মক+ে, ঋণ+আত্মক+ে",1 ঋণাত্মক,ঋণাত্ম,False
ঋণদানকারী,ঋণ+দান+কার+ী,ঋণ,ঋণদানকারী,False
ঋণগ্রহীতা,ঋণ+গ্রহীতা,ঋণ,ঋণগ্রহীতা,False
ঋণপ্রবাহের,ঋণ+প্রবাহ+ের,ঋণ,ঋণপ্রবাহ,False
ঔদ্ধত্য,ঔদ্ধত্য,ঔদ্ধত্য,ঔদ্ধত্য,True
আছেতা,আছে+তা,আছে,আছেতা,False
আছেন,আছ+ে+ন,আছ,আছ,True
আধাসরকারি,আধা+সরকার+ি,আধা,আধাসরকারি,False
আধমরা,"আধ+মর+া, আধ+মরা",আধ,আধম,False
আঘাত,"আঘাত, আ+ঘাত",আঘাত,আঘাত,True
আফ্রিকানকে,আফ্রিকা+ন+কে,আফ্রিকা,আফ্রিকান,False
আফ্রিকারও,আফ্রিকা+র+ও,আফ্রিকা,আফ্রিকা,True
আসামি,আসামি,আসামি,আসামি,True
আসব,আস+ব,আস,আসব,False
আসবেন,"আস+ব+ে+ন, আস+ব+েন",আস,আস,True
আসরের,আসর+ের,আসর,আসর,True
আতিশয্যে,আতিশয্য+ে,আতিশয্য,আতিশয্য,True
আত্মীয়কে,আত্ম+ীয়+কে,আত্ম,আত্মীয়,False
আত্মদান,আত্ম+দান,আত্ম,আত্মদান,False
আত্মনির্ভরশীল,আত্ম+নির্ভর+শীল,আত্ম,আত্মনির্ভর,False
আড্ডাই,আড্ডা+ই,আড্ডা,আড্ডা,True
আবাহনী,আবাহন+ী,আবাহন,আবাহনী,False
আবাল্যের,আ+বাল্য+ের,আ,আবাল্য,False
আবেদন,আবেদন,আবেদন,আবেদন,True
আবেগ,আবেগ,আবেগ,আবেগ,True
আবেগে,আবেগ+ে,আবেগ,আবেগ,True
আবদারের,আবদার+ের,আবদার,আবদার,True
আবহাওয়াটাও,"আব+হাওয়া+টা+ও, আবহাওয়া+টা+ও",আব,আবহাওয়াটাও,False
আব্বাও,আব্বা+ও,আব্বা,আব্বা,True
আচমকাই,আ+চমক+া+ই,আ,আচমকা,False
আচরণকেও,আচরণ+কে+ও,আচরণ,আচরণ,True
আদর্শনগর,আদর্শ+নগর,আদর্শ,আদর্শনগর,False
আগামীকালের,"আগাম+ী+কাল+ের, আ+গাম+ী+কাল+ের",আগাম,আগামীকাল,False
আগুন,আগুন,আগুন,আগুন,True
আগমনে,আ+গমন+ে,আ,আগমন,False
